id,ipsae,pdockq2,prodigy_kd,prodigy_dg_internal,dG_rosetta,ipTM+pTM,pTM,dG_SASA_ratio
3cqr__A1_Q39249_and_3cqr__B1_Q39249,0.0,0.0,6.742474506713746e-10,-12.503402373540856,21173.916015625,0.22813753417678562,0.15052413702878747,11.064019569384246
3cwx__A1_P94837_and_3cwx__B1_P94837,0.643754,0.5425,1.5377105461718102e-07,-9.288580314136125,-47.88686752319336,0.8406261062734215,0.8339391104507867,-0.025651128186977082
3ent__A1_Q2YAE2_and_3ent__B1_Q2YAE2,0.871977,0.7586,1.1940501332371175e-09,-12.165017906976745,-66.34001159667969,0.9221018990190072,0.923217323521829,-0.020406545859451817
3exq__A1_Q03S37_and_3exq__A2_Q03S37,0.783499,0.6394,5.188213271119539e-15,-19.47523292682927,-20.88196563720703,0.8744907723351085,0.8708984585130317,-0.005898524333296139
3fil__A1_P19909_and_3fil__B1_P19909,0.775161,0.8208,2.996018628501916e-06,-7.530326666666667,-44.396305084228516,0.892900621534882,0.8895959011686172,-0.046139935031406586
3g7p__A1_B7JA91_and_3g7p__A2_B7JA91,0.814622,0.6361,3.0386344712277447e-05,-6.158627857142857,-28.590234756469727,0.8958594959624863,0.8918976191201555,-0.016194293680807624
3gku__A1_D0VX24_and_3gku__B1_D0VX24,0.648097,0.4298,2.0313350796890733e-09,-11.850415805471126,4502.1171875,0.730236473460506,0.7266803590368369,1.8462424428461615
3gr5__A1_O52135_and_3gr5__A2_O52135,0.764883,0.5975,2.1567909373482617e-10,-13.178269134199134,2229.516357421875,0.8795395475071044,0.874243277682715,0.9440497392623259
3k3d__A1_P9WLZ7_and_3k3d__A2_P9WLZ7,0.849557,0.6506,5.412325253393477e-10,-12.633512941176472,-87.05014038085938,0.9184565549109709,0.9177288262140239,-0.025302211653536827
3k9m__A1_P07858_and_3k9m__B1_P01040,0.891827,0.7117,8.01906537059441e-14,-17.854081794871796,5080.39892578125,0.9283563939222073,0.9251030865036671,1.9143403353030255
3kxa__A1_Q5F9C2_and_3kxa__B1_Q5F9C2,0.599705,0.5673,7.848924420971678e-08,-9.686762337662339,1937.4071044921875,0.7613361068253874,0.7507030048618193,0.7511979180520777
3l34__B1_Q9HT87_and_3l34__A1_Q9HT87,0.867586,0.7379,1.428633655155425e-09,-12.058816315789475,18.083097457885742,0.9255498586317391,0.9256912275377386,0.0039527520281848584
3lf4__B1_D1MPT3_and_3lf4__A1_D1MPT3,,,5.187670741226968e-13,-16.748622500000003,-128.72996520996094,0.9265612973848589,0.9281813472455238,-0.030174239489219684
3mqi__A1_Q9UH73_and_3mqi__B1_Q9UH73,0.797351,0.7187,8.138014460495785e-06,-6.938674285714285,-16.401960372924805,0.8997918139328018,0.8955869382287036,-0.015267415470368468
3n50__B1_Q9H4W6_and_3n50__A1_Q9H4W6,0.717023,0.5932,1.1893196017711938e-08,-10.804032105263158,102.55186462402344,0.8477808153152977,0.8447779994661548,0.02685506408256876
3na2__A1_UNDEFINED_and_3na2__B2_UNDEFINED,0.894305,0.7616,1.9225665191140405e-09,-11.88299980392157,-31.63326644897461,0.940763749687193,0.9396896584536036,-0.015561602083505854
3neu__A1_Q92AT3_and_3neu__A2_Q92AT3,0.779452,0.6561,2.496188192495417e-08,-10.36506683168317,13.380769729614258,0.8719675773674445,0.8717992289996631,0.004731991823125857
3owf__A1_P00644_and_3owf__A2_P00644,0.0,0.0,3.211398279462696e-07,-8.85255871559633,4776.94921875,0.21389551342542928,0.13706168001537183,4.659913822103434
3ps8__A1_P01034_and_3ps8__A2_P01034,0.68472,0.621,9.060057413239133e-17,-21.871823684210533,-41.47106170654297,0.8065389009122812,0.8117785540544693,-0.0065339723214826295
3q5w__B1_P38937_and_3q5w__A1_P38937,0.806729,0.5064,7.59955030259297e-15,-19.24923258899676,866.2179565429688,0.8680089349868786,0.8728671571683273,0.14020557218584248
3r2p__A1_P02647_and_3r2p__A2_P02647,0.276888,0.4296,6.747007661851407e-10,-12.503004428969358,2366.71142578125,0.40476357776310284,0.40171904288484084,0.4367757125480951
3s5r__A1_Q2LS68_and_3s5r__B1_Q2LS68,0.855832,0.6984,2.139534787991769e-13,-17.27303391891892,-31.643062591552734,0.9139352641734367,0.9110423131400078,-0.00565029957250232
3swk__A1_P08670_and_3swk__B1_P08670,0.510075,0.5783,5.469527012104846e-10,-12.627288106508875,-98.01514434814453,0.6823825633173981,0.6800226915485096,-0.020262033707538533
3tbm__A1_Q8XVB9_and_3tbm__B1_Q8XVB9,0.842482,0.8399,1.403901524939327e-08,-10.705820000000001,-88.46577453613281,0.9249499796457439,0.9233122173343465,-0.035781372507391176
3uv0__B1_Q9W061_and_3uv0__A1_Q9W061,0.863908,0.7846,0.00015223247087066614,-5.2045258904109595,-36.386375427246094,0.9268835398328031,0.9248731577794774,-0.02081117482242995
3uws__B1_A7A9N3_and_3uws__A1_A7A9N3,0.947993,0.8018,2.829259007648184e-16,-21.19759701754386,-43.97370147705078,0.9652388146327368,0.964686610447857,-0.008613327139407751
3v1e__A1_UNDEFINED_and_3v1e__B1_UNDEFINED,0.677712,0.8167,6.423684338840416e-08,-9.805407971014493,122.99346160888672,0.8588878173754118,0.8536914404835455,0.06972108226570964
3v78__B1_P95092_and_3v78__A1_P95092,0.750917,0.5259,1.0584165070227351e-08,-10.873074137931034,175.2427520751953,0.8536444419793133,0.8514816095167623,0.05189678635750069
3vba__A1_Q58673_and_3vba__B1_Q58673,0.597496,0.5587,9.981052293379414e-05,-5.454467627118646,1458.9925537109375,0.7931114694005066,0.7753270155120606,0.6411268212764939
3vjz__A1_Q9K0P4_and_3vjz__B1_Q9K0P4,0.0,0.0,1.3962576040154572e-11,-14.79906111587983,6482.19677734375,0.20739932962197263,0.1298979736967082,2.9793986594484734
3vol__A1_Q9I6V6_and_3vol__A2_Q9I6V6,0.52746,0.5038,1.4777061950991893e-10,-13.402156140350877,424.92266845703125,0.7544962618174706,0.7379122192342207,0.14361555663961612
3wtf__B1_Q9BUH6_and_3wtf__A1_Q9BUH6,0.874978,0.6596,5.0546217344899985e-09,-11.310661346153847,-47.62950897216797,0.9287213538840958,0.9293529087797424,-0.017321657564731203
3zn4__A1_C8CHL4_and_3zn4__A2_C8CHL4,0.876467,0.7563,1.3166620542396059e-11,-14.833814234234236,-113.58747100830078,0.9331912198159917,0.9301057841329582,-0.02742099885484126
3zw5__A1_A6NK44_and_3zw5__B1_A6NK44,0.916381,0.82,3.7545158349434845e-16,-21.030068587570618,231.49856567382812,0.952137537514055,0.9536690958340965,0.04618828389985722
3zxq__B1_P9WGK1_and_3zxq__A1_P9WGK1,0.757101,0.5861,9.543893709512257e-07,-8.20765786516854,-17.1052303314209,0.8680547726043669,0.8642335418034973,-0.012989403402665252
4aye__D1_Q9JXV4_and_4aye__A1_P08603,0.888881,0.6529,1.9760521876615675e-10,-13.230089051094891,25.260175704956055,0.9168418097359922,0.914136082509573,0.00799999935727485
4czd__B1_B8J3A4_and_4czd__A1_B8J364,0.805676,0.6812,3.882495741038831e-18,-23.736894782608697,-81.98665618896484,0.8781105623964918,0.8775232043854007,-0.01242578837888394
4g12__A1_A5U5K3_and_4g12__B1_A5U5K3,0.851606,0.6604,1.2944760188715377e-07,-9.39053138888889,-7.280670166015625,0.9145334342997661,0.9125214258975363,-0.0026864736306622546
4jzp__A1_P51572_and_4jzp__B1_P51572,0.564601,0.7099,5.662543248809328e-07,-8.516745346534655,349.6732177734375,0.763745958749914,0.7613635389474205,0.13447867526634733
4kqd__B1_P06626_and_4kqd__A1_P06626,0.781476,0.665,3.3773227424177984e-11,-14.276075798816569,104.12708282470703,0.8858217651458313,0.8800561175533158,0.03498813256579565
4l7w__A1_Q7Z4H3_and_4l7w__A2_Q7Z4H3,0.938771,0.8035,1.3280204069380961e-09,-12.102056060606062,-47.62734603881836,0.9640553158504123,0.9634861267115061,-0.010495242983475778
4mis__A1_Q57ES7_and_4mis__B1_Q57ES7,0.860415,0.7413,1.9505001213249177e-11,-14.601131383647799,-78.18663787841797,0.9243414154666174,0.9222320735118286,-0.025446562372718508
4nc8__A1_P12464_and_4nc8__A2_P12464,0.790572,0.6612,4.2634965252683103e-11,-14.13811524590164,-100.39844512939453,0.8854050963483286,0.8899874919959903,-0.029664577702227482
4nqf__B2_Q7CW19_and_4nqf__A1_Q7CW19,0.878695,0.7246,2.9753084175098013e-10,-12.987778431372552,-29.131412506103516,0.9322672888148944,0.9293471380941133,-0.011808532187832455
4oun__A1_O31418_and_4oun__A2_O31418,0.875849,0.7444,4.885562686048847e-09,-11.330803370786516,97.53688049316406,0.9305134325788506,0.9289573535176023,0.03653807715530731
4ovo__A1_P67954_and_4ovo__A2_P67954,0.109991,0.3005,3.100902861345911e-08,-10.236625789473685,1741.1539306640625,0.430931938001462,0.3799671514079529,1.5075402202683075
4p9g__A1_Q9REI7_and_4p9g__A2_Q9REI7,0.907574,0.7808,1.9821679661593924e-06,-7.7749147058823525,5.55338716506958,0.9483245164779532,0.9465511273706735,0.002302748013184477
4pib__B1_Q2SVW5_and_4pib__A1_Q2SVW5,0.920201,0.7681,8.113034798675765e-17,-21.937192396694215,-93.9462890625,0.952990370268198,0.9519922488928796,-0.020694036791334754
4pww__A1_UNDEFINED_and_4pww__A2_UNDEFINED,0.45397,0.5756,2.7682474089496753e-05,-6.213806923076923,-6.018558979034424,0.7245394186176676,0.7132222750645112,-0.004330611258022174
4pz1__A1_Q99XU0_and_4pz1__A2_Q99XU0,0.834684,0.7559,5.939605466594553e-12,-15.305142345679013,-136.21591186523438,0.9060844722255893,0.9066646927705051,-0.024209199862921367
4qds__A1_O60462_and_4qds__B1_O60462,0.088222,0.175,3.458670758475423e-08,-10.171974942528736,2026.0511474609375,0.4716500413436102,0.42465949722134005,1.0493073080544433
4usp__A1_B3GA02_and_4usp__B1_B3GA02,0.887887,0.7507,3.7118403066616155e-09,-11.493483877551022,-46.485557556152344,0.9379155844928888,0.9366440030569754,-0.0335810093905387
4xd9__A1_C8VMF9_and_4xd9__B1_Q5B6T5,0.921126,0.74,8.338851874743321e-17,-21.920937447698744,-147.214111328125,0.954368149576306,0.9542268174886078,-0.0266173631714562
4yh8__A1_Q09176_and_4yh8__B1_P36629,0.904484,0.7278,2.3321661441784e-11,-14.495318085106383,-91.83961486816406,0.9244433181805768,0.9192624045232181,-0.026995484845788297
4z39__A1_A0A0S2E5N6_and_4z39__B1_A0A0S2E5N6,0.0,0.0,7.198274363106618e-11,-13.828007415730337,13347.4052734375,0.1659251853079603,0.08759438815333831,8.263027110015708
5cm2__A1_Q6C999_and_5cm2__B1_Q6C4P5,0.878931,0.706,5.0948832174270955e-08,-9.942627699115043,324.8999328613281,0.9395306271229924,0.9410881413769872,0.1352377450046365
5czf__D1_A0A0H3JHG3_and_5czf__A1_Q8XAD5,0.881572,0.8252,1.5932210933632617e-08,-10.630919126213591,-23.95433807373047,0.917687766763761,0.9156651748563782,-0.008028990423913841
5djt__A1_O49004_and_5djt__B1_UNDEFINED,0.297776,0.3897,1.2903897216181397e-06,-8.029067232704403,1383.330078125,0.6847451009070065,0.6500658245318391,0.8638332084084591
5jfz__A1_P20605_and_5jfz__B1_P0ADX5,0.926857,0.7909,8.821657071430743e-11,-13.707595144508673,-42.547725677490234,0.9571387494503112,0.9571263739520444,-0.012816211469659253
5k9l__B1_A8MW95_and_5k9l__A1_A8MW95,0.514779,0.5746,1.8149771173654838e-09,-11.917097142857145,-67.6783676147461,0.7046170311114176,0.7009752144186656,-0.015341226517945837
5l0o__A1_P46940_and_5l0o__B1_P46940,0.801558,0.6651,2.3098107755315492e-05,-6.321004,14.007830619812012,0.896935276383651,0.891277804916395,0.00845430113542638
5lxv__A1_G9FCX2_and_5lxv__B1_A0A1L1QK37,0.920068,0.7906,2.2203781819628235e-12,-15.887737674418606,-59.24679183959961,0.9411419901970404,0.9395102701208926,-0.02125939990375774
5mrv__A1_Q8IVL8_and_5mrv__C1_P86912,0.012041,0.0307,1.2090477952428575e-10,-13.520963559322034,5609.26708984375,0.3592288800160528,0.23622788138621936,3.280918172103862
5myd__C2_A0A2D0TC86_and_5myd__A1_A0A2D0TC86,0.892795,0.757,3.8856364214657583e-07,-8.73971811965812,-63.84903335571289,0.9389265754365748,0.9362880791883605,-0.02475721054061512
5oed__A1_Q6EAT3_and_5oed__B1_Q13637,0.88794,0.6537,2.0283506214536492e-12,-15.941294865900385,283.5773620605469,0.9272766922326092,0.928064597828051,0.08945171042000914
5vht__A1_P0A9J8_and_5vht__B1_P0A9J8,0.843969,0.7637,1.706260481087615e-09,-11.953669756097561,6.1566290855407715,0.9117546809110717,0.9117201710042444,0.0012881339061049783
5x42__A1_Q5ZYB7_and_5x42__B1_Q5ZYC6,0.892232,0.7046,9.948128047068604e-10,-12.273104827586206,-58.76925277709961,0.9170603757380711,0.9110121488103982,-0.016926806640343454
5yw5__A1_Q5NII9_and_5yw5__D1_Q5NII9,0.908528,0.7575,6.056385005707332e-07,-8.476933280632412,-51.23141098022461,0.9467899456103515,0.9450865091056282,-0.01849525233868006
6b8l__B1_P0DP23_and_6b8l__A1_P56696,0.860494,0.6967,6.228628745728305e-11,-13.913673939393941,-59.60890579223633,0.8942084597309072,0.8978232292674206,-0.014113304444743227
6cmv__B1_Q4J9G1_and_6cmv__A1_Q4J9G1,0.680857,0.6289,1.776277065944602e-08,-10.566522404371586,74.70362091064453,0.8171921291473474,0.8096749851023295,0.025718182025632953
6dt3__B1_A0A1W1Q5B1_and_6dt3__A1_A0A1W1Q5B1,0.838983,0.6909,2.7165663868234518e-06,-7.58830142857143,-51.22464370727539,0.9061498548965581,0.9034228170036563,-0.029690459818617697
6fju__A1_E6N8B9_and_6fju__B1_E6N8B9,0.836112,0.6274,5.489034110457701e-06,-7.171835483870968,210.7947998046875,0.8970705666907238,0.8950460185721554,0.0897086008577127
6fp5__B1_Q960Q9_and_6fp5__A1_Q960Q9,0.790638,0.7456,6.369491977959099e-08,-9.810424225352113,-48.9755744934082,0.8770735730038947,0.8781390277776495,-0.019962159529240655
6h86__A1_B5KM66_and_6h86__B1_B5KM66,0.026749,0.12,3.0106690294372864e-15,-19.797463982300883,7204.76123046875,0.37507154129445164,0.35079813214598976,1.328816964072634
6hrx__A1_O53623_and_6hrx__B1_O53623,0.828896,0.6413,1.7414459304561185e-06,-7.851575723905725,-51.61667251586914,0.9014621820723964,0.9000846793303334,-0.01833775891596382
6jqv__A1_Q8LC68_and_6jqv__B1_Q8LC68,0.730926,0.5,3.164890534563968e-08,-10.224532272727274,-37.341026306152344,0.8338708950631589,0.8376941749451575,-0.01157200228778588
6kvn__A1_A0A1S4CVP6_and_6kvn__A2_A0A1S4CVP6,0.837436,0.6328,1.3110550349983287e-06,-8.019660175438595,2.1387648582458496,0.9108631262630641,0.9087727907687558,0.0011568735319338677
6mhm__B1_Q13510_and_6mhm__A1_Q13510,0.932373,0.7732,2.1822687357244998e-13,-17.261324390243903,-44.326602935791016,0.9549363222086583,0.9530680419269894,-0.007447999701730121
6xgz__A1_P63386_and_6xgz__B1_P64602,0.791237,0.5636,1.2024222914937952e-05,-6.707536231884058,-45.01339340209961,0.9097032137990866,0.9218716176382092,-0.028006300662961857
6xnr__A1_UNDEFINED_and_6xnr__A2_UNDEFINED,0.461687,0.4732,5.792609583058174e-08,-9.86663530726257,19.172529220581055,0.7965002925194151,0.778562851033356,0.008729419644514609
6yev__C1_P0A744_and_6yev__A1_P0AA25,0.726554,0.623,7.04092427938455e-05,-5.661076666666668,14.805036544799805,0.8832416653033608,0.8719659116972469,0.017092555439569068
6zdw__B1_A0A162MUP0_and_6zdw__A1_A0A162MUP0,0.867157,0.6572,2.5453173670786923e-07,-8.990190541871922,-34.20362091064453,0.9246232635594962,0.9230193188682169,-0.01779103158765219
7c7e__A1_A0A0H3MRW3_and_7c7e__A2_A0A0H3MRW3,0.622132,0.5581,2.5223269997521917e-06,-7.632226666666668,912.6732177734375,0.7820046849370659,0.7725392671833531,0.48123128109947483
7drj__A1_P63756_and_7drj__B1_P63756,0.832757,0.5795,1.2269582408828723e-05,-6.695576006825938,179.27676391601562,0.9026179620274464,0.9002317058299709,0.06312259862873465
7dyc__A1_UNDEFINED_and_7dyc__A2_UNDEFINED,0.665618,0.8123,1.8393469953698149e-09,-11.909199999999998,-97.36382293701172,0.8463849653404057,0.848220307000609,-0.02363065997968533
7f0o__B1_A0A2I1C3W8_and_7f0o__A1_A0A2I1C3W8,0.858851,0.679,1.5042033205796808e-07,-9.301624782608696,-60.5859489440918,0.9189387549943396,0.9169010860829591,-0.026705872457852383
7f4q__B1_Q22GC0_and_7f4q__A1_I7M8B9,0.862853,0.6282,3.622095310463665e-11,-14.234647680608365,-79.89665222167969,0.9281947565058228,0.9362846630686557,-0.02304943356250118
7n35__A1_UNDEFINED_and_7n35__B2_UNDEFINED,0.430801,0.3584,2.110059681115352e-06,-7.737894285714287,40.37099838256836,0.75602241782408,0.7478761087670507,0.032290668524452
7nli__B1_P08405_and_7nli__A1_P08405,0.833473,0.733,9.84116219092244e-07,-8.189497142857144,-45.68560028076172,0.9084758803403956,0.9077648257473683,-0.026373636760122988
7pu4__B1_Q9X053_and_7pu4__A1_Q9X053,0.905705,0.7765,1.0980125798815672e-12,-16.304672645502645,463.9399719238281,0.9374256255354187,0.9384986454072745,0.09135533047317425
7pvh__A1_B2RLE7_and_7pvh__B1_B2RLE7,0.786694,0.6183,6.230326018784137e-10,-12.550176447368422,-17.649198532104492,0.8837165338189396,0.8774076501064185,-0.00678206702345223
7qaj__F1_UNDEFINED_and_7qaj__A1_Q8JIV8,0.703829,0.4297,3.655197534422348e-15,-19.68260585858586,818.81689453125,0.8075159572598904,0.8232494429883392,0.20427980441027066
7qsq__B1_Q9X053_and_7qsq__A1_Q9X053,0.728561,0.5243,7.314962183099338e-17,-21.998503333333336,85.56477355957031,0.8495508496721891,0.8592062652842498,0.01500835146677232
7skp__B1_UNDEFINED_and_7skp__A1_UNDEFINED,0.600384,0.6684,2.9215628809869034e-09,-11.635235454545455,289.38427734375,0.8269386558301096,0.8234663127676464,0.1331136256285826
